,zcta,census_tract,GEOID,E_TOTPOP,LOCATION,ct_avg_new_positives,ct_avg_new_positives_percent,ct_first_positives,old_index,numpy_index,t_station,sub_output,sub_input,sub_input_prop,sub_output_prop,geometry,NEIGHBORS,random_R0
0,11370,100,36005000100,7080,"Census Tract 1, Bronx County, New York",34.33333333333333,62.372602903026646,378.0,0,0,,0.0,0.0,0.0,0.0,"POLYGON ((-73.892504 40.801206, -73.872264 40.794992, -73.86711799999999 40.79374199999999, -73.87020699999999 40.790909, -73.87097299999999 40.789057, -73.87080899999999 40.787897, -73.87163099999999 40.786798, -73.873088 40.785855, -73.87697299999999 40.785778, -73.87830699999999 40.785357, -73.88530299999999 40.786685, -73.888307 40.787006, -73.89057 40.790108, -73.89218199999999 40.790394, -73.899869 40.792449, -73.892504 40.801206))","36005001900, 36081033100, 36081092900, 36005009300, 36081010701",3.06180248253063
1,10473,200,36005000200,4542,"Census Tract 2, Bronx County, New York",55.666666666666664,49.316789486031546,304.0,1,1,,0.0,0.0,0.0,0.0,"POLYGON ((-73.865218 40.814529, -73.864255 40.814658, -73.86332899999999 40.814782, -73.861482 40.815029, -73.859717 40.815269, -73.85772 40.813362, -73.857156 40.812824, -73.856133 40.811415, -73.85561799999999 40.81060799999999, -73.855312 40.809329, -73.854417 40.80578, -73.85652999999999 40.804794, -73.855256 40.80460799999999, -73.854632 40.799724, -73.862965 40.79767, -73.866484 40.805901, -73.86230999999999 40.80992, -73.861165 40.811127, -73.86708 40.814441, -73.865218 40.814529))","36005001600, 36005000400, 36005002000, 36005002400, 36005011700, 36081092900",3.8114809043531426
2,10473,400,36005000400,5634,"Census Tract 4, Bronx County, New York",55.666666666666664,49.316789486031546,304.0,2,2,,0.0,0.0,0.0,0.0,"POLYGON ((-73.85870299999999 40.815405, -73.85777999999999 40.81553, -73.85678299999999 40.815662, -73.85361999999999 40.816088, -73.851629 40.816354, -73.851145 40.814396, -73.849097 40.814551, -73.848112 40.814687, -73.847054 40.814826, -73.846097 40.81307899999999, -73.84638699999999 40.811625, -73.84313399999999 40.811603, -73.845117 40.806299, -73.846654 40.801024, -73.853072 40.800113, -73.854632 40.799724, -73.855256 40.80460799999999, -73.85652999999999 40.804794, -73.854417 40.80578, -73.855312 40.809329, -73.85561799999999 40.81060799999999, -73.856133 40.811415, -73.857156 40.812824, -73.85772 40.813362, -73.859717 40.815269, -73.85870299999999 40.815405))","36005001600, 36005007400, 36005008400, 36005009000, 36005000200, 36081092900, 36081093900",3.647225196819422
3,10473,1600,36005001600,5917,"Census Tract 16, Bronx County, New York",55.666666666666664,49.316789486031546,304.0,3,3,,0.0,0.0,0.0,0.0,"POLYGON ((-73.862464 40.819247, -73.861531 40.819379, -73.86202899999999 40.821509, -73.861114 40.821632, -73.860193 40.821757, -73.85826399999999 40.822013, -73.858445 40.822774, -73.855312 40.823192, -73.855136 40.822436, -73.85480799999999 40.821029, -73.854637 40.8203, -73.854142 40.818238, -73.85361999999999 40.816088, -73.85678299999999 40.815662, -73.85777999999999 40.81553, -73.85870299999999 40.815405, -73.859717 40.815269, -73.861482 40.815029, -73.861982 40.817135, -73.862464 40.819247))","36005003800, 36005000400, 36005002000, 36005007400, 36005004200, 36005009800, 36005000200",3.1615900630168676
4,10454,1900,36005001900,2765,"Census Tract 19, Bronx County, New York",32.23809523809524,56.65529364782285,350.0,4,4,,0.0,0.0,0.0,0.0,"POLYGON ((-73.930938 40.808253, -73.929219 40.80956399999999, -73.928556 40.809046, -73.926524 40.808162, -73.92426499999999 40.807175, -73.920615 40.805651, -73.918819 40.804905, -73.917315 40.804298, -73.915449 40.803541, -73.913478 40.804263, -73.91147599999999 40.805171, -73.909127 40.806166, -73.90844299999999 40.806477, -73.906655 40.807312, -73.903074 40.80988, -73.902294 40.805935, -73.901892 40.805007, -73.892504 40.801206, -73.899869 40.792449, -73.91245599999999 40.796096, -73.913624 40.796786, -73.919861 40.799353, -73.92174199999999 40.801689, -73.923022 40.802425, -73.92508099999999 40.802521, -73.92725 40.802558, -73.928225 40.80385, -73.93180099999999 40.807876, -73.930938 40.808253))","36005002500, 36005000100, 36005002701, 36005003100, 36005008300, 36061019200, 36005002702, 36005005100, 36061024000, 36061024200, 36005003300, 36005009300, 36081010701, 36005002300",3.5899777529658454
5,10473,2000,36005002000,9409,"Census Tract 20, Bronx County, New York",55.666666666666664,49.316789486031546,304.0,6,6,,0.0,0.0,0.0,0.0,"POLYGON ((-73.87050099999999 40.820364, -73.86857599999999 40.820624, -73.867656 40.820751, -73.865746 40.821012, -73.86451099999999 40.819847, -73.86431399999999 40.818999, -73.862464 40.819247, -73.861982 40.817135, -73.861482 40.815029, -73.86332899999999 40.814782, -73.864255 40.814658, -73.865218 40.814529, -73.86708 40.814441, -73.869545 40.816095, -73.869969 40.818268, -73.87050099999999 40.820364))","36005001600, 36005003800, 36005004600, 36005002400, 36005004200, 36005000200",3.086886601424373
6,10454,2300,36005002300,4600,"Census Tract 23, Bronx County, New York",30.476190476190478,56.39460026904654,174.0,7,7,3 AV 138 ST,618.2857142999999,362.85714289999993,0.000601194815589914,0.0011721685266822585,"POLYGON ((-73.929219 40.80956399999999, -73.928135 40.809622, -73.927121 40.810949, -73.92514199999999 40.81005, -73.92288599999999 40.809106, -73.92337499999999 40.808432, -73.92383699999999 40.807809, -73.92426499999999 40.807175, -73.926524 40.808162, -73.928556 40.809046, -73.929219 40.80956399999999))","36005002500, 36005001900, 36005003900, 36005005100",2.211767304916502
7,10473,2400,36005002400,172,"Census Tract 24, Bronx County, New York",55.666666666666664,49.316789486031546,304.0,8,8,,0.0,0.0,0.0,0.0,"POLYGON ((-73.880546 40.818468, -73.879769 40.819181, -73.877844 40.819418, -73.876126 40.81963, -73.872468 40.820151, -73.872991 40.822302, -73.873554 40.82441, -73.872506 40.824591, -73.871515 40.824715, -73.87050099999999 40.820364, -73.869969 40.818268, -73.869545 40.816095, -73.86708 40.814441, -73.861165 40.811127, -73.86230999999999 40.80992, -73.866484 40.805901, -73.871303 40.813954, -73.87796999999999 40.816152, -73.88098099999999 40.818238, -73.880546 40.818468))","36005004600, 36005011502, 36005004800, 36005002000, 36005002800, 36005004400, 36005011700, 36005000200",2.2582181401539394
8,10454,2500,36005002500,5887,"Census Tract 25, Bronx County, New York",30.476190476190478,56.39460026904654,174.0,9,9,,0.0,0.0,0.0,0.0,"POLYGON ((-73.92383699999999 40.807809, -73.92337499999999 40.808432, -73.92288599999999 40.809106, -73.920046 40.807907, -73.919224 40.807558, -73.917479 40.806823, -73.917964 40.806116, -73.918819 40.804905, -73.920615 40.805651, -73.92426499999999 40.807175, -73.92383699999999 40.807809))","36005002701, 36005001900, 36005002702, 36005003900, 36005002300",2.7472554626633103
9,10454,2701,36005002701,2868,"Census Tract 27.01, Bronx County, New York",30.476190476190478,56.39460026904654,174.0,10,10,,0.0,0.0,0.0,0.0,"POLYGON ((-73.917964 40.806116, -73.917479 40.806823, -73.914495 40.805561, -73.914997 40.804872, -73.913478 40.804263, -73.915449 40.803541, -73.917315 40.804298, -73.918819 40.804905, -73.917964 40.806116))","36005002500, 36005001900, 36005002702, 36005003900",3.0215310258951096
