,STATION,X,Y,LINE
158,103RD ST,-73.96837899960818,4.0,1
160,103RD ST,-73.96137008267617,4.0,A-B-C
457,103RD ST,-73.94747800152219,4.0,4-6-6 Express
188,103RD ST - CORONA PLAZA,-73.86269999830412,4.0,7
97,104TH ST,-73.83768300060997,4.0,A-S
13,104TH-102ND STS,-73.84443500029684,4.0,J-Z
449,110TH ST,-73.94424999687163,4.0,4-6-6 Express
189,111TH ST,-73.85533399834884,4.0,7
82,111TH ST,-73.83216299845388,4.0,A-S
208,111TH ST,-73.83679338454697,4.0,J
169,116TH ST,-73.94962500096905,4.0,3-Feb
397,116TH ST,-73.95479778057312,4.0,A-B-C
461,116TH ST,-73.9416169983714,4.0,4-6-6 Express
166,116TH ST - COLUMBIA UNIVERSITY,-73.96410999757751,4.0,1
209,121ST ST,-73.82834900017954,4.0,J-Z
467,125TH ST,-73.93759400055725,4.0,4-5-6-6 Express
398,125TH ST,-73.95224799734774,4.0,A-B-C-D
167,125TH ST,-73.94549500011411,4.0,3-Feb
286,125TH ST,-73.95837200097044,4.0,1
439,135TH ST,-73.94753480879213,4.0,A-B-C
168,135TH ST,-73.94077000106708,4.0,3-Feb
171,137TH ST - CITY COLLEGE,-73.95367600087873,4.0,1
140,138TH ST - GRAND CONCOURSE,-73.92984899935611,4.0,5-Apr
294,145TH ST,-73.94408792823116,4.0,A-B-C-D
172,145TH ST,-73.93624499873299,4.0,3
155,145TH ST,-73.95035999879713,4.0,1
288,149TH ST - GRAND CONCOURSE,-73.92672247438611,4.0,5-Feb
46,149TH ST - GRAND CONCOURSE,-73.9273847542618,4.0,4
440,14TH ST,-73.99620899921355,4.0,F-M
438,14TH ST,-74.00020100063497,4.0,1/2/03
443,14TH ST,-74.00168999937027,4.0,A-C-E
410,155TH ST,-73.94151400082208,4.0,A-C
295,155TH ST,-73.93820899811622,4.0,B-D
156,157TH ST,-73.94488999901047,4.0,1
106,15TH ST - PROSPECT PARK,-73.97973580592873,4.0,F-G
47,161ST ST - YANKEE STADIUM,-73.92569199505733,4.0,4
296,161ST ST - YANKEE STADIUM,-73.92565099775477,4.0,B-D
411,163RD ST - AMSTERDAM AV,-73.93989200188344,4.0,A-C
21,167TH ST,-73.91843200082253,4.0,B-D
290,167TH ST,-73.92139999784426,4.0,4
176,168TH ST,-73.94013299907257,4.0,1
