,STATION,X,Y,LINE,GEOID
0,103RD ST,-73.96837899960818,40.799446000334825,1,36061019100
1,103RD ST,-73.96137008267617,40.796060739904526,A-B-C,36061014300
2,103RD ST,-73.94747800152219,40.79060000008452,4-6-6 Express,36061016600
3,103RD ST - CORONA PLAZA,-73.86269999830412,40.749865000555545,7,36081040501
4,104TH ST,-73.83768300060997,40.681711001091195,A-S,36081009400
5,104TH-102ND STS,-73.84443500029684,40.69516599823373,J-Z,36081002800
6,110TH ST,-73.94424999687163,40.795020000113105,4-6-6 Express,36061017200
7,111TH ST,-73.85533399834884,40.75172999941711,7,36081040102
8,111TH ST,-73.83216299845388,40.68433100001238,A-S,36081009600
9,111TH ST,-73.83679338454697,40.697114810696476,J,36081012400
10,116TH ST,-73.94962500096905,40.802097999133004,3-Feb,36061019000
11,116TH ST,-73.95479778057312,40.80505813344211,A-B-C,36061021800
12,116TH ST,-73.9416169983714,40.7986290002001,4-6-6 Express,36061018200
13,116TH ST - COLUMBIA UNIVERSITY,-73.96410999757751,40.807722001230864,1,36061020500
14,121ST ST,-73.82834900017954,40.700481998515315,J-Z,36081014400
15,125TH ST,-73.93759400055725,40.804138000587244,4-5-6-6 Express,36061019600
16,125TH ST,-73.95224799734774,40.811071672994565,A-B-C-D,36061025700
17,125TH ST,-73.94549500011411,40.807753999182815,3-Feb,36061020000
18,125TH ST,-73.95837200097044,40.815580999978934,1,36061021100
19,135TH ST,-73.94753480879213,40.817905559212676,A-B-C,36061022102
20,135TH ST,-73.94077000106708,40.8142290003391,3-Feb,36061022800
21,137TH ST - CITY COLLEGE,-73.95367600087873,40.82200799968475,1,36061022301
22,138TH ST - GRAND CONCOURSE,-73.92984899935611,40.81322399958908,5-Apr,36005005100
23,145TH ST,-73.94408792823116,40.824766360871905,A-B-C-D,36061023100
24,145TH ST,-73.93624499873299,40.82042099969279,3,36061023200
25,145TH ST,-73.95035999879713,40.82655099962194,1,36061022900
26,149TH ST - GRAND CONCOURSE,-73.92672247438611,40.81833014409742,5-Feb,36005005100
27,149TH ST - GRAND CONCOURSE,-73.9273847542618,40.81830344372315,4,36005005100
28,14TH ST,-73.99620899921355,40.73822799969515,F-M,36061008100
29,14TH ST,-74.00020100063497,40.737825999728116,1/2/03,36061007100
30,14TH ST,-74.00168999937027,40.740893000193296,A-C-E,36061008100
31,155TH ST,-73.94151400082208,40.83051799929251,A-C,36061023501
32,155TH ST,-73.93820899811622,40.8301349999812,B-D,36061024302
33,157TH ST,-73.94488999901047,40.8340410001399,1,36061024100
34,15TH ST - PROSPECT PARK,-73.97973580592873,40.66003568810021,F-G,36047016900
35,161ST ST - YANKEE STADIUM,-73.92569199505733,40.82823032742169,4,36005019500
36,161ST ST - YANKEE STADIUM,-73.92565099775477,40.827904998845845,B-D,36005019500
37,163RD ST - AMSTERDAM AV,-73.93989200188344,40.83601299923096,A-C,36061024301
38,167TH ST,-73.91843200082253,40.83376899862797,B-D,36005019700
39,167TH ST,-73.92139999784426,40.83553699933672,4,36005019700
40,168TH ST,-73.94013299907257,40.840555999148535,1,36061025100
