STATION,LINE,X,Y,t_station,t_linename,t_entries,t_exits
103RD ST,1,-73.968379,40.799446,103 ST,1,838,781.8571429
103RD ST,A-B-C,-73.96137008,40.79606074,103 ST,BC,351.5714286,355.2857143
103RD ST,4-6-6 Express,-73.947478,40.7906,103 ST,6,1733.428571,2272.714286
103RD ST - CORONA PLAZA,7,-73.8627,40.749865,103 ST-CORONA,7,1973.285714,2162.142857
104TH ST,A-S,-73.837683,40.681711,104 ST,A,135.2857143,71.28571429
104TH-102ND STS,J-Z,-73.844435,40.695166,104 ST,JZ,260.4285714,151.4285714
110TH ST,4-6-6 Express,-73.94425,40.79502,110 ST,6,1162.285714,1791
111TH ST,7,-73.855334,40.75173,111 ST,7,1143,952.5714286
111TH ST,A-S,-73.832163,40.684331,111 ST,A,239.2857143,107.7142857
111TH ST,J,-73.83679338,40.69711481,111 ST,J,192.7142857,144.7142857
116TH ST,3-Feb,-73.949625,40.802098,116 ST,23,1039.857143,1092.714286
116TH ST,A-B-C,-73.95479778,40.80505813,116 ST,BC,567.1428571,851.2857143
116TH ST,4-6-6 Express,-73.941617,40.798629,116 ST,6,1747.285714,2150.714286
116TH ST - COLUMBIA UNIVERSITY,1,-73.96411,40.807722,116 ST-COLUMBIA,1,485.4285714,444.2857143
121ST ST,J-Z,-73.828349,40.700482,121 ST,JZ,263,210
125TH ST,4-5-6-6 Express,-73.937594,40.804138,125 ST,456,3951.142857,6139.857143
125TH ST,A-B-C-D,-73.952248,40.81107167,125 ST,ACBD,3009.714286,3956.571429
125TH ST,3-Feb,-73.945495,40.807754,125 ST,23,917.8571429,1454.428571
125TH ST,1,-73.958372,40.815581,125 ST,1,586.2857143,955.5714286
135TH ST,A-B-C,-73.94753481,40.81790556,135 ST,BC,387,511.1428571
135TH ST,3-Feb,-73.94077,40.814229,135 ST,23,1689.142857,1179.142857
137TH ST - CITY COLLEGE,1,-73.953676,40.822008,137 ST CITY COL,1,1071.142857,1536.571429
138TH ST - GRAND CONCOURSE,5-Apr,-73.929849,40.813224,138/GRAND CONC,45,475.2857143,607.8571429
145TH ST,A-B-C-D,-73.94408793,40.82476636,145 ST,ABCD,2310.714286,3019.285714
145TH ST,3,-73.936245,40.820421,145 ST,3,322.8571429,89.85714286
145TH ST,1,-73.95036,40.826551,145 ST,1,963.1428571,1292.428571
149TH ST - GRAND CONCOURSE,5-Feb,-73.92672247,40.81833014,149/GRAND CONC,245,1933,2095.714286
149TH ST - GRAND CONCOURSE,4,-73.92738475,40.81830344,149/GRAND CONC,245,1933,2095.714286
14TH ST,F-M,-73.996209,40.738228,14 ST,FLM123,932.1428571,1808.714286
14TH ST,1/2/03,-74.000201,40.737826,14 ST,123FLM,764.1428571,777.1428571
14TH ST,A-C-E,-74.00169,40.740893,14 ST,ACEL,621.4285714,809.1428571
155TH ST,A-C,-73.941514,40.830518,155 ST,C,265.8571429,352.4285714
155TH ST,B-D,-73.938209,40.830135,155 ST,BD,678.4285714,554.2857143
157TH ST,1,-73.94489,40.834041,157 ST,1,1127,1192.857143
15TH ST - PROSPECT PARK,F-G,-73.97973581,40.66003569,15 ST-PROSPECT,FG,263.1428571,224.2857143
161ST ST - YANKEE STADIUM,4,-73.925692,40.82823033,161/YANKEE STAD,4BD,1249,717.5714286
161ST ST - YANKEE STADIUM,B-D,-73.925651,40.827905,161/YANKEE STAD,BD4,1416.428571,824.1428571
163RD ST - AMSTERDAM AV,A-C,-73.939892,40.836013,163 ST-AMSTERDM,C,433.8571429,738.7142857
167TH ST,B-D,-73.918432,40.833769,167 ST,BD,725.1428571,969.1428571
167TH ST,4,-73.9214,40.835537,167 ST,4,1502.571429,1984.857143
168TH ST,1,-73.940133,40.840556,168 ST,1AC,1263.571429,1610.571429
168TH ST,A-C,-73.939561,40.840719,168 ST,AC1,1103.428571,562.7142857
169TH ST,F,-73.7934742,40.7105175,169 ST,F,537.8571429,890
170TH ST,4,-73.917791,40.840075,170 ST,4,1202.142857,1566.857143
170TH ST,B-D,-73.9134,40.839306,170 ST,BD,948.8571429,763.8571429
174TH ST,5-Feb,-73.8876936,40.83719555,174 ST,25,581.5714286,1141.428571
174TH-175TH STS,B-D,-73.910136,40.8459,174-175 STS,BD,828.7142857,677.1428571
