,STATION,LINE,X,Y,t_station,t_linename,t_entries,t_exits,GEOID
163,AQUEDUCT RACETRACK,A,-73.83591899999999,40.672096999999994,AQUEDUCT RACETR,A,15.14285714,8.857142857000001,36081086400
172,AVE I,F,-73.97606933,40.62501744,AVENUE I,F,232.28571430000002,24.71428571,36047046202
212,BROAD CHANNEL,A-S,-73.81583269,40.60840218,BROAD CHANNEL,AS,27.28571429,27.42857143,36081107201
272,DYCKMAN ST,A,-73.92727099999999,40.865491,DYCKMAN ST,A,527.2857143,53.71428571,36061028700
188,BEACH 105TH ST,A-S,-73.82758075,40.58326844,BEACH 105 ST,AS,17.57142857,55.28571429,36081093800
132,75TH AVE,E-F,-73.83692369,40.71804465,75 AV,EF,163.71428569999998,56.85714286,36081076901
4,104TH ST,A-S,-73.837683,40.681711,104 ST,A,135.28571430000002,71.28571429,36081009400
184,BAY PKY,F,-73.97525698,40.62073162,BAY PKWY,F,133.4285714,72.42857143,36047045000
181,BAY 50TH ST,D,-73.983765,40.58884067,BAY 50 ST,D,246.28571430000002,78.42857143,36047030600
70,238TH ST,1,-73.90087,40.884667,238 ST,1,445.42857139999995,78.85714286,36005028300
24,145TH ST,3,-73.936245,40.820421,145 ST,3,322.85714289999993,89.85714286,36061023200
195,BEACH 98TH ST,A-S,-73.82052059,40.58538569,BEACH 98 ST,AS,55.85714286,98.14285714,36081094201
206,BOROUGH HALL,3-Feb,-73.989998,40.693219,BOROUGH HALL,R2345,77.85714286,104.8571429,36047001100
8,111TH ST,A-S,-73.832163,40.684331,111 ST,A,239.28571430000002,107.7142857,36081009600
364,LORIMER ST,L,-73.950248,40.714071999999994,LORIMER ST,LG,195.0,110.8571429,36047050100
383,NECK RD,Q,-73.95507827,40.59532169,NECK RD,BQ,370.42857139999995,114.0,36047058600
175,AVE N,F,-73.97404851,40.61435671,AVENUE N,F,253.71428569999998,115.57142859999999,36047044600
63,215TH ST,1,-73.915279,40.869444,215 ST,1,185.8571429,116.42857140000001,36061030300
384,NEPTUNE AVE,F,-73.97459273,40.58073876,NEPTUNE AV,F,185.28571430000002,117.8571429,36047035400
126,6TH AVE,L,-73.99775079,40.73774147,6 AV,FLM123,-29.71428571,121.42857140000001,36061007100
150,88TH ST,A-S,-73.85146999999999,40.679843,88 ST,A,257.5714286,121.57142859999999,36081005400
162,AQUEDUCT - NORTH CONDUIT AV,A,-73.834058,40.668234000000005,AQUEDUCT N.COND,A,75.28571429,122.8571429,36081008800
294,FRANKLIN ST,2-Jan,-74.006886,40.719318,FRANKLIN ST,1,122.2857143,126.8571429,36061003300
110,55TH ST,D,-73.99534883,40.63147876,55 ST,D,252.1428571,127.8571429,36047024000
417,RECTOR ST,R-W,-74.01297456,40.70774476,RECTOR ST,NRW,157.1428571,128.1428571,36061001300
297,FT HAMILTON PKWY,F-G,-73.975776,40.65078167,FT HAMILTON PKY,FG,209.0,128.7142857,36047050401
431,SPRING ST,A-C-E,-74.003739,40.726227,SPRING ST,CE,304.57142860000005,130.2857143,36061004900
177,AVE U,F,-73.97337642,40.59592483,AVENUE U,F,198.71428569999998,132.7142857,36047039800
249,CITY HALL,R-W,-74.00698582,40.71327233,CITY HALL,NRW,168.71428569999998,134.28571430000002,36061003100
76,25TH AVE,D,-73.986829,40.59770367,25 AV,D,344.0,138.0,36047030000
